,Date_reported,New_cases_CH,Cumulative_cases_CH,New_deaths_CH,Cumulative_deaths_CH,New_cases_US,Cumulative_cases_US,New_deaths_US,Cumulative_deaths_US,l_new_us,l_new_ch,l_death_us,l_death_ch,cproducts_notbasic_ch,cproducts_ch,healthcare_ch,lag_cpnb_ch,lag_cp_ch,lag_hc_ch,SP500,COMEX_Gold,US_Tbill_10yr,DJI_Pharma,DJI_Retail,lag_SP500,lag_COMEX_Gold,lag_US_Tbill_10yr,lag_DJI_Pharma,lag_DJI_Retail,lag14_New_cases_CH,lag14_New_cases_US,lag_New_cases_CH,lag_New_cases_US,lag14_SP500,lag14_COMEX_Gold,lag14_US_Tbill_10yr,lag14_DJI_Pharma,lag14_DJI_Retail,lag14_cpnb_ch,lag14_cp_ch,lag14_hc_ch,CSI300,llag14_New_cases_CH,llag14_New_cases_US,llag_New_cases_CH,llag_New_cases_US,lSP500,lCSI300
0,2020-01-03,-302,-77410,-17,-3813,-29571,-2899899,-702,-98754,,,,,-301.855867346937,-3616.7390306122397,-2836.4191836734717,,,,97.32418367347009,-210.16391752577238,0.9307692307692308,-9.51372448979646,-228.80321428571392,,,,,,-300,-24613,,,,,,,,,,,-123.99132653061315,,,,,0.035076810147202764,-0.025072488552458694
1,2020-01-06,-299,-77406,-17,-3813,-29571,-2899899,-702,-98754,,-2.7035465511886407,,,-318.1858673469369,-3619.3890306122394,-2883.4391836734703,-293.17866666666396,-3592.284666666659,-2826.9477948717977,108.75418367347038,-196.36391752577242,0.9407692307692308,-6.223724489796496,-217.64321428571384,99.23661538461602,-209.20673575129467,0.930360824742268,-9.366051282051785,-227.0594358974356,-300,-24613,-304.25128205128203,-29271.097435897434,,,,,,,,,-139.651326530613,,,,,0.038603976505525495,-0.028857725830008008
2,2020-01-07,-302,-77406,-17,-3813,-29571,-2899899,-702,-98754,,,,,-236.3758673469374,-3249.629030612239,-2745.2491836734716,-309.5086666666639,-3594.934666666659,-2873.9677948717963,99.65418367347002,-185.56391752577247,0.9607692307692308,-7.623724489796473,-221.5632142857139,110.6666153846163,-195.40673575129472,0.940360824742268,-6.0760512820518215,-215.89943589743552,-300,-24613,-301.25128205128203,-29271.097435897434,,,,,,,,,-108.72132653061362,,,-2.7053650535511107,,0.035796831562635134,-0.021395265705853816
3,2020-01-08,-302,-77406,-17,-3813,-29571,-2899899,-702,-98754,,,,,-220.8058673469368,-3329.1190306122407,-2847.3591836734704,-227.6986666666644,-3225.1746666666586,-2735.7777948717976,115.52418367347036,-209.56391752577247,1.0007692307692309,-4.323724489796405,-220.53321428571394,101.56661538461594,-184.60673575129476,0.960360824742268,-7.476051282051799,-219.8194358974356,-300,-24613,-304.25128205128203,-29271.097435897434,,,,,,,,,-156.63132653061348,,,,,0.04068726892137242,-0.03297828077557341
4,2020-01-09,-302,-77406,-17,-3813,-29571,-2899899,-702,-98754,,,,,-134.6158673469372,-3157.129030612239,-2598.879183673471,-212.12866666666378,-3304.66466666666,-2837.8877948717964,137.17418367347,-213.06391752577247,0.9807692307692308,1.5962755102035544,-212.88321428571385,117.43661538461629,-208.60673575129476,1.000360824742268,-4.176051282051731,-218.78943589743562,-300,-24613,-304.25128205128203,-29271.097435897434,,,,,,,,,-104.5813265306133,,,,,0.04732051295894735,-0.020400623238632676
5,2020-01-10,-302,-77406,-17,-3813,-29571,-2899899,-702,-98754,,,,,-141.02586734693705,-3145.7690306122386,-2542.299183673471,-125.93866666666418,-3132.6746666666586,-2589.407794871797,127.82418367347009,-203.06391752577247,0.9607692307692308,2.3362755102035635,-222.16321428571382,139.08661538461592,-212.10673575129476,0.980360824742268,1.7439487179482285,-211.13943589743553,-300,-24613,-304.25128205128203,-29271.097435897434,,,,,,,,,-105.7713265306129,,,,,0.044461205653901104,-0.02068642158462808
6,2020-01-13,-302,-77365,-17,-3812,-29571,-2899899,-702,-98754,,,,,-95.88586734693672,-2897.1890306122405,-2464.9091836734715,-132.34866666666403,-3121.314666666658,-2532.827794871797,150.6041836734703,-212.96391752577233,0.9807692307692308,0.04627551020359988,-217.62321428571386,129.73661538461602,-202.10673575129476,0.960360824742268,2.4839487179482376,-220.4194358974355,-300,-24613,-304.25128205128203,-29271.097435897434,,,,,,,,,-64.9613265306134,,,,,0.05141326524621803,-0.010931552587301496
7,2020-01-14,-302,-77365,-17,-3812,-29571,-2899899,-702,-98754,,,,,-99.73586734693708,-3052.289030612239,-2538.9591836734708,-87.2086666666637,-2872.73466666666,-2455.4377948717975,145.62418367347027,-217.06391752577247,0.9507692307692308,7.986275510203541,-221.29321428571393,152.51661538461622,-212.00673575129463,0.980360824742268,0.19394871794827395,-215.87943589743554,-300,-24613,-304.25128205128203,-29271.097435897434,,,,,,,,,-79.06132653061286,,,,,0.049897578514444874,-0.01429114630607664
8,2020-01-15,-302,-77365,-17,-3812,-29571,-2899899,-702,-98754,,,,,-145.35586734693698,-3027.32903061224,-2499.809183673471,-91.05866666666407,-3027.8346666666584,-2529.4877948717967,151.76418367347014,-209.56391752577247,0.9207692307692308,13.776275510203504,-226.91321428571382,147.5366153846162,-216.10673575129476,0.950360824742268,8.133948717948215,-219.54943589743561,-300,-24613,-304.25128205128203,-29271.097435897434,,,,,,,,,-102.22132653061362,,,,,0.051765987137788017,-0.01983407138758686
9,2020-01-16,-302,-77365,-17,-3812,-29571,-2899899,-702,-98754,,,,,-158.64586734693694,-3003.379030612239,-2480.299183673471,-136.67866666666396,-3002.8746666666593,-2490.337794871797,179.28418367347012,-213.36391752577242,0.9407692307692308,14.80627551020359,-216.30321428571392,153.67661538461607,-208.60673575129476,0.920360824742268,13.923948717948178,-225.1694358974355,-300,-24613,-304.25128205128203,-29271.097435897434,,,,,,,,,-119.91132653061322,,,,,0.06009772876998909,-0.024088644730635878
10,2020-01-17,-298,-77361,-16,-3811,-29571,-2899899,-702,-98754,,-2.41586447873686,,-1.8826489446204915,-138.9358673469369,-3126.799030612241,-2397.229183673471,-149.96866666666392,-2978.9246666666586,-2470.827794871797,192.09418367347007,-203.86391752577242,0.9707692307692308,13.356275510203545,-215.80321428571392,181.19661538461605,-212.40673575129472,0.940360824742268,14.953948717948265,-214.5594358974356,-300,-24613,-304.25128205128203,-29271.097435897434,,,,,,,,,-114.10132653061282,,,,,0.06395243448771026,-0.022689300339493457
11,2020-01-21,-209,-77115,-15,-3807,-29571,-2899894,-702,-98754,,0.7304406532965051,,-1.1895017640605463,-268.15586734693716,-3523.8690306122407,-2076.75918367347,-130.25866666666388,-3102.3446666666605,-2387.757794871797,183.26418367347014,-205.56391752577247,0.9107692307692308,11.05627551020359,-208.15321428571383,194.006615384616,-202.90673575129472,0.970360824742268,13.50394871794822,-214.0594358974356,-300,-24613,-300.25128205128203,-29271.097435897434,,,,,,,,,-83.12132653061326,,,-2.41768298109933,,0.061296957550569076,-0.015260615275428435
12,2020-01-22,-150,-76963,-14,-3804,-29571,-2899894,-702,-98754,,1.2217216809895262,,-0.7840366559523817,-257.1158673469372,-3587.1090306122405,-2212.1891836734703,-259.47866666666414,-3499.41466666666,-2067.287794871796,184.22418367347018,-205.36391752577242,0.9007692307692308,9.516275510203513,-212.46321428571378,185.17661538461607,-204.60673575129476,0.910360824742268,11.203948717948265,-206.40943589743551,-300,-24613,-211.25128205128203,-29271.097435897434,,,,,,,,,-154.6413265306128,,,0.7286221509340356,,0.06158600361026423,-0.03249448606526961
13,2020-01-23,-171,-76832,-9,-3796,-29571,-2899894,-702,-98754,,1.0730384833444009,,0.1967925970593447,-445.6858673469369,-4247.83903061224,-2428.33918367347,-248.43866666666418,-3562.65466666666,-2202.7177948717963,188.01418367347014,-198.36391752577242,0.8707692307692307,5.246275510203532,-205.25321428571374,186.1366153846161,-204.40673575129472,0.900360824742268,9.663948717948188,-210.71943589743546,-300,-24613,-152.25128205128203,-29271.097435897434,,,,,,,,,-137.0213265306129,,,1.2199031786270558,,0.06272631805740936,-0.02822101674701294
14,2020-02-03,2524,-60168,39,-3452,-29568,-2899884,-702,-98754,-8.588103367733055,4.14481251783684,,2.1604023232140577,-888.0358673469373,-5459.98903061224,-2870.83918367347,-437.0086666666639,-4223.3846666666595,-2418.867794871796,111.39418367347025,-185.7639175257725,0.6707692307692308,-19.303724489796423,-197.53321428571394,189.92661538461607,-197.40673575129472,0.870360824742268,5.393948717948206,-203.50943589743542,-300,-24613,-173.25128205128203,-29271.097435897434,116.96791208791319,-199.33277777777698,0.9276243093922653,-9.359450549450685,-207.60208791208743,-212.22521978021723,-3293.20785714285,-2704.0696153846166,-580.5913265306131,,,1.0712199809819305,,0.039416884543886255,-0.1417837120989276
15,2020-02-04,2930,-56935,46,-3388,-29571,-2899884,-702,-98754,,4.279006937868683,,2.2762341387391807,-740.7858673469373,-5078.26903061224,-2488.309183673471,-879.3586666666642,-5435.534666666659,-2861.367794871796,160.06418367347032,-210.36391752577242,0.7407692307692308,-6.2037244897964,-174.25321428571374,113.30661538461618,-184.8067357512948,0.670360824742268,-19.15605128205175,-195.78943589743562,-297,-24613,2522.748717948718,-29268.097435897434,128.39791208791348,-185.53277777777703,0.9376243093922653,-6.069450549450721,-196.44208791208735,-228.55521978021716,-3295.8578571428498,-2751.089615384615,-483.3113265306133,-2.732949249835566,,4.14299401547437,-8.577798961693997,0.05428614976195156,-0.11575066580938653
